Country,City,District,District_join,Year,Price/m2
Spain,Madrid,Arganzuela,079-02 Arganzuela,2007,"13,5"
Spain,Madrid,Barajas,079-21 Barajas,2007,"11,5"
Spain,Madrid,Carabanchel,079-11 Carabanchel,2007,"11,5"
Spain,Madrid,Centro,079-01 Centro,2007,18
Spain,Madrid,Chamartín,079-05 Chamartín,2007,"14,5"
Spain,Madrid,Chamberí,079-07 Chamberí,2007,"15,5"
Spain,Madrid,Ciudad Lineal,079-15 Ciudad Lineal,2007,13
Spain,Madrid,Fuencarral,079-08 Fuencarral-El Pardo,2007,"10,5"
Spain,Madrid,Hortaleza,079-16 Hortaleza,2007,13
Spain,Madrid,Latina,079-10 Latina,2007,"11,5"
Spain,Madrid,Moncloa,079-09 Moncloa-Aravaca,2007,13
Spain,Madrid,Moratalaz,079-14 Moratalaz,2007,11
Spain,Madrid,Puente De Vallecas,079-13 Puente de Vallecas,2007,12
Spain,Madrid,Retiro,079-03 Retiro,2007,14
Spain,Madrid,Salamanca,079-04 Salamanca,2007,16
Spain,Madrid,San Blas,079-20 San Blas - Canillejas,2007,"12,5"
Spain,Madrid,Tetuán,079-06 Tetuán,2007,"12,5"
Spain,Madrid,Usera,079-12 Usera,2007,"11,5"
Spain,Madrid,Vicálvaro,079-19 Vicálvaro,2007,10
Spain,Madrid,Villa De Vallecas,079-18 Villa de Vallecas,2007,"10,5"
Spain,Madrid,Villaverde,079-17 Villaverde,2007,"10,5"
Spain,Madrid,Arganzuela,079-02 Arganzuela,2008,"13,38"
Spain,Madrid,Barajas,079-21 Barajas,2008,"11,84"
Spain,Madrid,Carabanchel,079-11 Carabanchel,2008,"11,57"
Spain,Madrid,Centro,079-01 Centro,2008,"17,24"
Spain,Madrid,Chamartín,079-05 Chamartín,2008,"14,755"
Spain,Madrid,Chamberí,079-07 Chamberí,2008,"15,84"
Spain,Madrid,Ciudad Lineal,079-15 Ciudad Lineal,2008,"12,935"
Spain,Madrid,Fuencarral,079-08 Fuencarral-El Pardo,2008,"11,63"
Spain,Madrid,Hortaleza,079-16 Hortaleza,2008,"12,895"
Spain,Madrid,Latina,079-10 Latina,2008,"11,625"
Spain,Madrid,Moncloa,079-09 Moncloa-Aravaca,2008,"14,175"
Spain,Madrid,Moratalaz,079-14 Moratalaz,2008,"11,45"
Spain,Madrid,Puente De Vallecas,079-13 Puente de Vallecas,2008,"12,12"
Spain,Madrid,Retiro,079-03 Retiro,2008,"14,105"
Spain,Madrid,Salamanca,079-04 Salamanca,2008,"16,6"
Spain,Madrid,San Blas,079-20 San Blas - Canillejas,2008,"12,465"
Spain,Madrid,Tetuán,079-06 Tetuán,2008,"12,955"
Spain,Madrid,Usera,079-12 Usera,2008,"12,035"
Spain,Madrid,Vicálvaro,079-19 Vicálvaro,2008,"10,805"
Spain,Madrid,Villa De Vallecas,079-18 Villa de Vallecas,2008,"10,89"
Spain,Madrid,Villaverde,079-17 Villaverde,2008,"10,93"
Spain,Madrid,Arganzuela,079-02 Arganzuela,2009,"12,72"
Spain,Madrid,Barajas,079-21 Barajas,2009,"10,92"
Spain,Madrid,Carabanchel,079-11 Carabanchel,2009,"10,605"
Spain,Madrid,Centro,079-01 Centro,2009,"15,7"
Spain,Madrid,Chamartín,079-05 Chamartín,2009,"13,945"
Spain,Madrid,Chamberí,079-07 Chamberí,2009,"14,8"
Spain,Madrid,Ciudad Lineal,079-15 Ciudad Lineal,2009,"11,69"
Spain,Madrid,Fuencarral,079-08 Fuencarral-El Pardo,2009,"10,8"
Spain,Madrid,Hortaleza,079-16 Hortaleza,2009,"12,135"
Spain,Madrid,Latina,079-10 Latina,2009,"10,41"
Spain,Madrid,Moncloa,079-09 Moncloa-Aravaca,2009,"13,485"
Spain,Madrid,Moratalaz,079-14 Moratalaz,2009,"10,215"
Spain,Madrid,Puente De Vallecas,079-13 Puente de Vallecas,2009,"10,785"
Spain,Madrid,Retiro,079-03 Retiro,2009,"12,685"
Spain,Madrid,Salamanca,079-04 Salamanca,2009,"15,17"
Spain,Madrid,San Blas,079-20 San Blas - Canillejas,2009,"10,98"
Spain,Madrid,Tetuán,079-06 Tetuán,2009,"12,175"
Spain,Madrid,Usera,079-12 Usera,2009,"10,48"
Spain,Madrid,Vicálvaro,079-19 Vicálvaro,2009,"10,21"
Spain,Madrid,Villa De Vallecas,079-18 Villa de Vallecas,2009,"10,1"
Spain,Madrid,Villaverde,079-17 Villaverde,2009,"9,9"
Spain,Madrid,Arganzuela,079-02 Arganzuela,2010,"12,2775"
Spain,Madrid,Barajas,079-21 Barajas,2010,"10,775"
