distrito,2q 2006,4q 2006,2q 2007,4q 2007,2q 2008,4q 2008,2q 2009,4q 2009,1q 2010,2q 2010,3q 2010,4q 2010,1q 2011,2q 2011,3q 2011,4q 2011,1q 2012,2q 2012,3q 2012,4q 2012,1q 2013,2q 2013,3q 2013,4q 2013,1q 2014,2q 2014,3q 2014,4q 2014,1q 2015,2q 2015,3q 2015,4q 2015,1q 2016,2q 2016,3q 2016,4q 2016
Arganzuela, n.d. ,n.d.,13,14,"13,57","13,19","12,71","12,73","12,66","12,28","12,03","12,14","12,06","12,12","11,84","11,66","11,56","11,58","11,5","11,26","11,24","11,01","10,89","10,89","10,94","10,68","10,77","10,98","11,17","11,09","11,94","12,01","12,17","11,98","13,41","13,47"
Barajas, n.d. ,n.d.,11,12,"12,07","11,61","11,02","10,82","10,76","10,87","10,71","10,76","11,24","11,11","10,84","11,14","10,84","10,96","10,47","10,38","10,41","10,3","10,01","10,18","10,01","9,85","9,78","9,49","10,04","9,81","9,87","9,99","10,25","10,62","10,97","10,58"
Carabanchel, n.d. ,n.d.,11,12,"11,93","11,21","10,63","10,58","10,53","10,55","10,3","10,36","10,34","10,14","9,92","10,07","9,88","9,85","9,6","9,43","9,16","9,02","9,22","8,81","8,83","8,27","8,16","8,35","8,36","8,47","8,87","9,23","8,95","9,3","9,66","10,43"
Centro, n.d. ,n.d.,18,18,"17,62","16,86","15,79","15,61","15,53","15,22","15,16","15,56","15,08","14,93","15,02","15,01","14,82","14,48","14,1","13,96","13,7","13,5","13,49","13,38","13,59","13,39","13,46","13,67","13,84","13,74","14,51","15,25","15,91","15,97","16,91","17,69"
Chamartín, n.d. ,n.d.,14,15,"14,82","14,69","14,02","13,87","13,8","13,6","13,63","13,67","13,4","13,54","13,55","13,62","13,45","13,06","12,7","12,52","12,26","12,06","12,57","12,27","12,27","12,26","12,17","12,4","12,56","12,49","12,88","13,17","13,57","13,85","14,27","14,09"
Chamberí, n.d. ,n.d.,15,16,"16,26","15,42","15,14","14,46","14,38","14,39","14,4","14,17","14,13","14,1","14,14","13,95","13,71","13,73","13,94","13,33","13,07","12,99","12,96",13,"13,37","13,21","13,23","13,46","13,58","13,46","14,05","14,65","14,76","15,19","15,88","17,32"
Ciudad Lineal, n.d. ,n.d.,13,13,"13,29","12,58","11,74","11,64","11,58","11,67","11,41","11,16","11,28","11,58","11,45","11,35","11,29","11,21","10,96","10,89","10,39","10,2","10,48","10,22","10,31","10,19","10,05","10,2","10,44","10,39","10,7","11,28","11,26","11,12","11,59","12,23"
Fuencarral, n.d. ,n.d.,10,11,"11,89","11,37","10,93","10,67","10,61","10,74","10,67","10,57","10,64","10,85","10,91","10,69","10,47","10,5","10,3","10,07",10,"10,03","10,2","9,88","10,13","9,95","9,8","10,23","10,27","10,24","10,39","10,66","10,65","10,7","11,33","11,42"
Hortaleza, n.d. ,n.d.,13,13,"13,15","12,64","12,2","12,07","12,01","11,84","11,77","11,68","11,7","11,87","12,01","11,95","11,88","11,38","11,54","11,4","11,34","10,89","10,73","10,9","11,01","10,57","10,54","10,32","10,69","10,56",11,"11,05","10,89","11,09","11,67","11,6"
Latina, n.d. ,n.d.,11,12,"11,91","11,34","10,6","10,22","10,17","10,17","10,09","10,06","9,83","9,96","9,83","9,81","9,83","9,54","9,58","9,43","9,04","8,8","8,92","8,45","9,03","8,56","8,66","8,5","8,61","8,65","8,75","9,27","9,42","9,37","9,9","10,41"
