Country,City,District,Neighborhood,Neighborhood_lookup,Subdivision,Lat,Lon,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Spain,Madrid,Centro,011 Palacio,Palacio,,,,2610,3279,3605,4128,4503,4555,4807,4544,4239,4113,3850,3519,3397,3369,3682,3731
Spain,Madrid,Centro,012 Embajadores,Lavapiés-Embajadores,,,,2107,2715,3022,3401,3852,4252,4394,3782,3601,3489,3215,2721,2897,2697,3000,3240
Spain,Madrid,Centro,013 Cortes,Huertas-Cortes,,,,2611,3070,3683,4107,4610,4858,4922,4401,4101,4272,4043,3715,3358,3541,3714,3616
Spain,Madrid,Centro,014 Justicia,Chueca-Justicia,,,,2496,3103,3736,4151,4396,4967,5027,4992,4915,4653,4539,4007,3969,3902,4326,4612
Spain,Madrid,Centro,015 Universidad,Malasaña-Universidad,,,,2317,2870,3352,3857,4337,4602,4747,4263,4006,3953,3604,3230,3297,3199,3476,3845
Spain,Madrid,Centro,016 Sol,Sol,,,,2450,3108,3502,4029,4591,4627,4876,4465,4091,4183,3921,3517,3445,3419,3716,3788
Spain,Madrid,Arganzuela,021 Imperial,Imperial,,,,2264,2934,3591,3507,3711,4254,4240,3723,3541,3352,3104,2816,2752,2731,2697,2920
Spain,Madrid,Arganzuela,022 Las Acacias,Acacias,,,,2237,2993,3506,3793,4178,4453,4309,3940,3743,3588,3365,2957,2918,2804,2966,3193
Spain,Madrid,Arganzuela,023 La Chopera,Chopera,,,,1939,2576,3222,3434,3680,3972,3942,3503,3316,3123,2894,2379,2267,2190,2355,2649
Spain,Madrid,Arganzuela,024 Legazpi,Legazpi,,,,2313,2714,3320,3714,4083,4251,4261,3916,3988,4010,3847,3428,3428,3307,3349,3395
Spain,Madrid,Arganzuela,025 Delicias,Delicias,,,,2254,3008,3279,3751,3882,4295,4138,3820,3497,3375,3206,2825,2710,2564,2592,3025
Spain,Madrid,Arganzuela,026 Palos de Moguer,Palos de Moguer,,,,,2783,3297,3497,3945,4246,4083,3809,3477,3595,3241,2831,2800,2529,2725,2976
Spain,Madrid,Arganzuela,027 Atocha,Atocha,,,,2312,,,,,,,,,,,,,,,
Spain,Madrid,Retiro,031 Pacífico,Pacífico,,,,2458,3134,3774,3853,4142,4431,4490,3978,3854,3789,3506,3061,2821,2758,2943,3084
Spain,Madrid,Retiro,032 Adelfas,Adelfas,,,,2435,2709,3561,3669,3945,4436,4555,4050,3834,3677,3420,2991,2696,2686,2941,3180
Spain,Madrid,Retiro,033 Estrella,Estrella,,,,2485,2937,3280,3815,4016,4339,4523,4066,3950,3817,3595,3111,2847,2831,3083,3003
Spain,Madrid,Retiro,034 Ibiza,Ibiza,,,,2726,3374,4201,4515,4582,4991,4953,4759,4622,4253,4130,3605,3478,3595,3756,3939
