Country,City,District,Neighborhood,Neighborhood_lookup,Subdivision,Lat,Lon,Year,Price/m2
Spain,Madrid,Centro,011 Palacio,Palacio,,,,2001,2610.0
Spain,Madrid,Centro,012 Embajadores,Lavapiés-Embajadores,,,,2001,2107.0
Spain,Madrid,Centro,013 Cortes,Huertas-Cortes,,,,2001,2611.0
Spain,Madrid,Centro,014 Justicia,Chueca-Justicia,,,,2001,2496.0
Spain,Madrid,Centro,015 Universidad,Malasaña-Universidad,,,,2001,2317.0
Spain,Madrid,Centro,016 Sol,Sol,,,,2001,2450.0
Spain,Madrid,Arganzuela,021 Imperial,Imperial,,,,2001,2264.0
Spain,Madrid,Arganzuela,022 Las Acacias,Acacias,,,,2001,2237.0
Spain,Madrid,Arganzuela,023 La Chopera,Chopera,,,,2001,1939.0
Spain,Madrid,Arganzuela,024 Legazpi,Legazpi,,,,2001,2313.0
Spain,Madrid,Arganzuela,025 Delicias,Delicias,,,,2001,2254.0
Spain,Madrid,Arganzuela,026 Palos de Moguer,Palos de Moguer,,,,2001,
Spain,Madrid,Arganzuela,027 Atocha,Atocha,,,,2001,2312.0
Spain,Madrid,Retiro,031 Pacífico,Pacífico,,,,2001,2458.0
Spain,Madrid,Retiro,032 Adelfas,Adelfas,,,,2001,2435.0
Spain,Madrid,Retiro,033 Estrella,Estrella,,,,2001,2485.0
Spain,Madrid,Retiro,034 Ibiza,Ibiza,,,,2001,2726.0
Spain,Madrid,Retiro,035 Jerónimos,Jerónimos,,,,2001,3442.0
Spain,Madrid,Retiro,036 Niño Jesús,Niño Jesús,,,,2001,3084.0
Spain,Madrid,Salamanca,041 Recoletos,Recoletos,,,,2001,3423.0
Spain,Madrid,Salamanca,042 Goya,Goya,,,,2001,2962.0
Spain,Madrid,Salamanca,043 Fuente del Berro,Fuente del Berro,,,,2001,2527.0
Spain,Madrid,Salamanca,044 Guindalera,Guindalera,,,,2001,2507.0
Spain,Madrid,Salamanca,045 Lista,Lista,,,,2001,3019.0
Spain,Madrid,Salamanca,046 Castellana,Castellana,,,,2001,4202.0
Spain,Madrid,Chamartín,051 El Viso,El Viso,,,,2001,3814.0
Spain,Madrid,Chamartín,052 Prosperidad,Prosperidad,,,,2001,2702.0
Spain,Madrid,Chamartín,053 Ciudad Jardín,Ciudad Jardín,,,,2001,2547.0
Spain,Madrid,Chamartín,054 Hispanoamérica,Bernabéu-Hispanoamérica,,,,2001,3198.0
Spain,Madrid,Chamartín,055 Nueva España,Nueva España,,,,2001,3467.0
Spain,Madrid,Chamartín,056 Castilla,Castilla,,,,2001,2848.0
Spain,Madrid,Tetuán,061 Bellas Vistas,Bellas Vistas,,,,2001,2091.0
Spain,Madrid,Tetuán,062 Cuatro Caminos,Cuatro Caminos,,,,2001,2864.0
Spain,Madrid,Tetuán,063 Castillejos,Cuzco-Castillejos,,,,2001,2931.0
Spain,Madrid,Tetuán,064 Almenara,Ventilla-Almenara,,,,2001,2268.0
Spain,Madrid,Tetuán,065 Valdeacederas,Valdeacederas,,,,2001,2200.0
Spain,Madrid,Tetuán,066 Berruguete,Berruguete,,,,2001,2168.0
Spain,Madrid,Chamberí,071 Gaztambide,Gaztambide,,,,2001,2583.0
Spain,Madrid,Chamberí,072 Arapiles,Arapiles,,,,2001,2668.0
Spain,Madrid,Chamberí,073 Trafalgar,Trafalgar,,,,2001,2920.0
Spain,Madrid,Chamberí,074 Almagro,Almagro,,,,2001,3308.0
Spain,Madrid,Chamberí,075 Ríos Rosas,Nuevos Ministerios-Ríos Rosas,,,,2001,2939.0
Spain,Madrid,Chamberí,076 Vallehermoso,Vallehermoso,,,,2001,3016.0
Spain,Madrid,Fuencarral-El Pardo,081 El Pardo,El Pardo,,,,2001,2552.0
Spain,Madrid,Fuencarral-El Pardo,082 Fuentelarreina,Fuentelarreina,,,,2001,2499.0
Spain,Madrid,Fuencarral-El Pardo,083 Peña Grande,Peñagrande,,,,2001,2086.0
Spain,Madrid,Fuencarral-El Pardo,084 El Pilar,Pilar,,,,2001,2198.0
Spain,Madrid,Fuencarral-El Pardo,085 La Paz,La Paz,,,,2001,2617.0
Spain,Madrid,Fuencarral-El Pardo,086 Valverde,Valverde,Tres Olivos,40.499431,-3.69177,2001,
Spain,Madrid,Fuencarral-El Pardo,086 Valverde,Valverde,PAU Las Tablas,40.50596,-3.670523,2001,
Spain,Madrid,Fuencarral-El Pardo,087 Mirasierra,Mirasierra,,,,2001,2681.0
Spain,Madrid,Fuencarral-El Pardo,088 El Goloso,El Goloso,,,,2001,
Spain,Madrid,Moncloa-Aravaca,091 Casa de Campo,Casa de Campo,,,,2001,2559.0
Spain,Madrid,Moncloa-Aravaca,092 Argüelles,Argüelles,,,,2001,2849.0
Spain,Madrid,Moncloa-Aravaca,093 Ciudad Universitaria,Ciudad Universitaria,,,,2001,2403.0
Spain,Madrid,Moncloa-Aravaca,094 Valdezarza,Valdezarza,,,,2001,2313.0
Spain,Madrid,Moncloa-Aravaca,095 Valdemarín,Valdemarín,,,,2001,3106.0
Spain,Madrid,Moncloa-Aravaca,096 El Plantío,El Plantío,,,,2001,1999.0
Spain,Madrid,Moncloa-Aravaca,097 Aravaca,Aravaca,,,,2001,2003.0
Spain,Madrid,Latina,101 Los Cármenes,Los Cármenes,,,,2001,1709.0
Spain,Madrid,Latina,102 Puerta del Ángel,Puerta del Angel,,,,2001,1713.0
Spain,Madrid,Latina,103 Lucero,Lucero,,,,2001,1801.0
Spain,Madrid,Latina,104 Aluche,Aluche,,,,2001,1610.0
Spain,Madrid,Latina,105 Campamento,Campamento,,,,2001,1615.0
Spain,Madrid,Latina,106 Cuatro Vientos,Cuatro Vientos,,,,2001,1710.0
Spain,Madrid,Latina,107 Las Águilas,Las Águilas,,,,2001,1788.0
Spain,Madrid,Carabanchel,111 Comillas,Comillas,,,,2001,1761.0
Spain,Madrid,Carabanchel,112 Opañel,Opañel,,,,2001,1626.0
Spain,Madrid,Carabanchel,113 San Isidro,San Isidro,,,,2001,1721.0
Spain,Madrid,Carabanchel,114 Vista Alegre,Vista Alegre,,,,2001,1812.0
Spain,Madrid,Carabanchel,115 Puerta Bonita,Puerta Bonita,,,,2001,1664.0
Spain,Madrid,Carabanchel,116 Buenavista,Buenavista,,,,2001,1606.0
Spain,Madrid,Carabanchel,116 Buenavista,Buenavista,PAU de Carabanchel,40.364258,-3.761437,2001,
Spain,Madrid,Carabanchel,117 Abrantes,Abrantes,,,,2001,1719.0
Spain,Madrid,Usera,121 Orcasitas,Orcasitas,,,,2001,1298.0
Spain,Madrid,Usera,122 Orcasur,12 de Octubre-Orcasur,,,,2001,1745.0
Spain,Madrid,Usera,123 San Fermín,San Fermín,,,,2001,1576.0
Spain,Madrid,Usera,124 Almendrales,Almendrales,,,,2001,1696.0
Spain,Madrid,Usera,125 Moscardó,Moscardó,,,,2001,1636.0
Spain,Madrid,Usera,126 Zofío,Zofío,,,,2001,1654.0
Spain,Madrid,Usera,127 Pradolongo,Pradolongo,,,,2001,1690.0
Spain,Madrid,Puente de Vallecas,131 Entrevías,Entrevías,,,,2001,1170.0
Spain,Madrid,Puente de Vallecas,132 San Diego,San Diego,,,,2001,1766.0
Spain,Madrid,Puente de Vallecas,133 Palomeras Bajas,Palomeras Bajas,,,,2001,1699.0
Spain,Madrid,Puente de Vallecas,134 Palomeras Sureste,Palomeras Sureste,,,,2001,1645.0
Spain,Madrid,Puente de Vallecas,135 Portazgo,Portazgo,,,,2001,1513.0
Spain,Madrid,Puente de Vallecas,136 Numancia,Numancia,,,,2001,1901.0
Spain,Madrid,Moratalaz,141 Pavones,Pavones,,,,2001,1914.0
Spain,Madrid,Moratalaz,142 Horcajo,Horcajo,,,,2001,
Spain,Madrid,Moratalaz,143 Marroquina,Marroquina,,,,2001,2187.0
Spain,Madrid,Moratalaz,144 Media Legua,Media Legua,,,,2001,1975.0
Spain,Madrid,Moratalaz,145 Fontarrón,Fontarrón,,,,2001,1904.0
Spain,Madrid,Moratalaz,146 Vinateros,Vinateros,,,,2001,1952.0
Spain,Madrid,Ciudad Lineal,151 Ventas,Ventas,,,,2001,1947.0
Spain,Madrid,Ciudad Lineal,152 Pueblo Nuevo,Pueblo Nuevo,,,,2001,2026.0
Spain,Madrid,Ciudad Lineal,153 Quintana,Quintana,,,,2001,2344.0
Spain,Madrid,Ciudad Lineal,154 Concepción,Concepción,,,,2001,2477.0
Spain,Madrid,Ciudad Lineal,155 San Pascual,San Pascual,,,,2001,2788.0
Spain,Madrid,Ciudad Lineal,156 San Juan Bautista,San Juan Bautista,,,,2001,2894.0
Spain,Madrid,Ciudad Lineal,157 Colina,Colina,,,,2001,2761.0
Spain,Madrid,Ciudad Lineal,158 Atalaya,Atalaya,,,,2001,2961.0
Spain,Madrid,Ciudad Lineal,159 Costillares,Costillares,,,,2001,2751.0
Spain,Madrid,Hortaleza,161 Palomas,Palomas,,,,2001,2507.0
Spain,Madrid,Hortaleza,162 Piovera,Conde Orgaz-Piovera,,,,2001,2796.0
Spain,Madrid,Hortaleza,163 Canillas,Canillas,,,,2001,2290.0
Spain,Madrid,Hortaleza,164 Pinar del Rey,Pinar del Rey,,,,2001,2207.0
Spain,Madrid,Hortaleza,165 Apóstol Santiago,Apóstol Santiago,,,,2001,1989.0
Spain,Madrid,Hortaleza,166 Valdefuentes,Valdefuentes,PAU Sanchinarro,40.493694,-3.660339,2001,
Spain,Madrid,Hortaleza,166 Valdefuentes,Valdefuentes,Valdebebas – Valdefuentes,40.482496,-3.616277,2001,
Spain,Madrid,Hortaleza,166 Valdefuentes,Valdefuentes,Virgen del Cortijo – Manoteras,40.487688,-3.660896,2001,
Spain,Madrid,Hortaleza,166 Valdefuentes,Valdefuentes,El Encinar de los Reyes,40.507724,-3.644881,2001,
Spain,Madrid,Villaverde,171 San Andrés,San Andrés,,,,2001,1468.0
Spain,Madrid,Villaverde,172 San Cristóbal,San Cristóbal,,,,2001,1159.0
Spain,Madrid,Villaverde,173 Butarque,Butarque,,,,2001,1347.0
Spain,Madrid,Villaverde,174 Los Rosales,Los Rosales,,,,2001,1450.0
Spain,Madrid,Villaverde,175 Los Ángeles,Los Ángeles,,,,2001,1476.0
Spain,Madrid,Villa de Vallecas,181 Casco Histórico de Vallecas,Casco Histórico de Vallecas,,,,2001,1546.0
Spain,Madrid,Villa de Vallecas,181 Casco Histórico de Vallecas,Casco Histórico de Vallecas,Ensanche de Vallecas – Valdecarros,40.368166,-3.610482,2001,
Spain,Madrid,Villa de Vallecas,182 Santa Eugenia,Santa Eugenia,,,,2001,1654.0
Spain,Madrid,Vicálvaro,191 Casco Histórico de Vicálvaro,Casco Histórico de Vicálvaro,,,,2001,2011.0
Spain,Madrid,Vicálvaro,191 Casco Histórico de Vicálvaro,Casco Histórico de Vicálvaro,Valdebernardo – Valderribas,40.401672,-3.621428,2001,
Spain,Madrid,Vicálvaro,191 Casco Histórico de Vicálvaro,Casco Histórico de Vicálvaro,El Cañaveral - Los Berrocales,40.401441,-3.552554,2001,
Spain,Madrid,Vicálvaro,192 Ambroz,Ambroz,,,,2001,1618.0
Spain,Madrid,San Blas-Canillejas,201 Simancas,Simancas,,,,2001,2152.0
Spain,Madrid,San Blas-Canillejas,202 Hellín,Hellín,,,,2001,1613.0
Spain,Madrid,San Blas-Canillejas,203 Amposta,Amposta,,,,2001,1645.0
Spain,Madrid,San Blas-Canillejas,204 Arcos,Arcos,,,,2001,1601.0
